spawn_index,name,x,y,z,yaw,road_id,lane_id,lane_width,is_junction
0,SP_000,220.40966796875,-5.085507869720459,0.27530714869499207,-179.1442108154297,5,-2,3.5,False
1,SP_001,227.2574005126953,-1.5858983993530273,0.27530714869499207,-179.1442108154297,1156,-1,3.5,True
2,SP_002,245.8651123046875,0.5032958984375,0.27530714869499207,-88.60674285888672,1166,3,3.5,True
3,SP_003,242.36614990234375,-10.08180046081543,0.27530714869499207,-88.60674285888672,1166,2,3.5,True
4,SP_004,234.76988220214844,3.550551652908325,0.27530714869499207,91.39320373535156,1165,-1,3.5,True
5,SP_005,231.2709197998047,14.26545238494873,0.27530714869499207,91.39320373535156,1165,-2,3.5,True
6,SP_006,-26.262718200683594,-7.955658435821533,0.27530714869499207,143.07748413085938,1608,-1,3.5,True
7,SP_007,-149.06358337402344,107.70558166503906,0.27530714869499207,89.62203216552734,1679,-1,3.5,True
8,SP_008,-145.56019592285156,99.70096588134766,0.27530714869499207,-89.97014617919922,1678,1,3.5,True
9,SP_009,-149.0479278564453,76.1436996459961,0.27530714869499207,90.02982330322266,1909,-1,3.5,True
10,SP_010,-145.53578186035156,52.828338623046875,0.27530714869499207,-89.97014617919922,1908,1,3.5,True
11,SP_011,-136.97901916503906,0.17835818231105804,0.27530714869499207,0.294607549905777,1853,-1,3.5,True
12,SP_012,-149.01095581054688,5.159777641296387,0.40992292761802673,90.02982330322266,1829,-1,3.5,True
13,SP_013,-145.50387573242188,-8.40972900390625,0.40487220883369446,-89.97014617919922,1828,1,3.5,True
14,SP_014,107.89705657958984,62.55741500854492,0.2753047049045563,-0.147430419921875,52,1,3.5,False
15,SP_015,-9.261773109436035,155.70883178710938,0.27524489164352417,89.63746643066406,31,-2,3.5,False
16,SP_016,-5.761843204498291,161.58668518066406,0.27524489164352417,89.63746643066406,1031,-1,3.5,True
17,SP_017,2.184858560562134,159.5411376953125,0.27530714869499207,-90.36254119873047,1030,4,3.5,True
18,SP_018,5.684788703918457,153.81900024414062,0.27530714869499207,-90.36254119873047,31,5,3.5,False
19,SP_019,-13.931132316589355,168.72802734375,0.27530714869499207,168.90008544921875,1020,-1,3.5,True
20,SP_020,79.49516296386719,-71.6148452758789,8.305596351623535,92.02408599853516,1806,-1,3.5,True
21,SP_021,83.27630615234375,-79.50776672363281,8.305596351623535,-87.97588348388672,1805,1,3.5,True
22,SP_022,4.926102638244629,40.57860565185547,0.27530714869499207,-88.8912353515625,1772,4,3.5,True
23,SP_023,1.426758050918579,47.21087646484375,0.27530714869499207,-88.8912353515625,30,4,3.5,False
24,SP_024,-10.073487281799316,51.42850875854492,0.27530714869499207,89.63746643066406,30,-2,3.5,False
25,SP_025,-6.573556900024414,43.50636291503906,0.27530714869499207,89.63746643066406,1737,3,3.5,True
26,SP_026,144.75537109375,-135.17124938964844,8.305596351623535,-178.77268981933594,1708,1,3.5,True
27,SP_027,154.12709045410156,-140.75875854492188,8.305596351623535,-89.0035171508789,1734,1,3.5,True
28,SP_028,150.3661346435547,-125.78666687011719,8.305596351623535,90.9964828491211,1735,-1,3.5,True
29,SP_029,-6.446169853210449,-42.19375228881836,0.27530714869499207,92.00418853759766,1691,3,3.5,True
30,SP_030,-2.6483113765716553,-50.37135314941406,0.27530714869499207,92.00418853759766,28,2,3.5,False
31,SP_031,7.903517723083496,-57.52961349487305,0.27530714869499207,-88.58641815185547,28,-2,3.5,False
32,SP_032,4.104583263397217,-46.1159553527832,0.27530714869499207,-88.58641815185547,28,-1,3.5,False
33,SP_033,240.81761169433594,53.58905792236328,0.29999998211860657,-88.60533905029297,1426,2,3.5,True
34,SP_034,225.70278930664062,58.74635696411133,0.3499999940395355,179.85255432128906,1374,-1,3.5,True
35,SP_035,229.373779296875,93.3993911743164,0.6499999761581421,91.39320373535156,67,-2,3.5,False
36,SP_036,232.97274780273438,82.18453979492188,0.44999998807907104,91.39320373535156,67,-1,3.5,False
37,SP_037,244.31658935546875,64.27371978759766,0.29999998211860657,-88.60674285888672,1426,3,3.5,True
38,SP_038,-42.350990295410156,-2.835118293762207,0.27530714869499207,-179.70538330078125,1608,-1,3.5,True
39,SP_039,-40.41106414794922,0.6854625344276428,0.27530714869499207,1.6669405698776245,1566,2,3.5,True
40,SP_040,-10.648787498474121,34.00116729736328,0.27530714869499207,98.62480163574219,1737,4,3.5,True
41,SP_041,-9.017538070678711,24.410858154296875,0.27530714869499207,78.62488555908203,1661,-3,3.5,True
42,SP_042,-21.252513885498047,11.105012893676758,0.27530714869499207,61.806827545166016,1566,2,3.5,True
43,SP_043,-20.467727661132812,0.3515026867389679,0.27530714869499207,81.80699920654297,38,-4,3.5,False
44,SP_044,134.91160583496094,-75.6125717163086,8.305596351623535,-178.49087524414062,59,-5,3.5,False
45,SP_045,149.3912811279297,-67.85892486572266,8.305599212646484,90.9964828491211,1467,-1,3.5,True
46,SP_046,153.0302734375,-84.65576171875,8.30562686920166,-89.0035171508789,74,1,3.5,False
47,SP_047,10.139041900634766,-146.58253479003906,0.27530714869499207,-88.58641815185547,1334,-2,3.5,True
48,SP_048,6.640107154846191,-156.76885986328125,0.27530714869499207,-88.58641815185547,29,-1,3.5,False
49,SP_049,-0.8658573627471924,-116.85084533691406,0.27530714869499207,91.41353607177734,28,2,3.5,False
50,SP_050,-4.364792346954346,-126.3371810913086,0.27530714869499207,91.41353607177734,1335,3,3.5,True
51,SP_051,-11.102113723754883,-138.51019287109375,0.27530714869499207,-178.77268981933594,1230,-1,3.5,True
52,SP_052,16.876914978027344,-134.40997314453125,0.3999999761581421,1.2272647619247437,1229,1,3.5,True
53,SP_053,26.509408950805664,7.425339698791504,0.27530714869499207,-13.668415069580078,1214,-4,3.5,True
54,SP_054,37.28235626220703,3.4244604110717773,0.27530714869499207,-13.668415069580078,1192,3,3.5,True
55,SP_055,16.030826568603516,10.789361000061035,0.27530714869499207,-58.79703903198242,1214,-3,3.5,True
56,SP_056,14.023801803588867,18.817155838012695,0.27530714869499207,-38.797035217285156,1772,4,3.5,True
57,SP_057,35.54818344116211,-7.843905448913574,0.27530714869499207,-179.1441650390625,1197,-4,3.5,True
58,SP_058,42.59590148925781,-4.344295978546143,0.27530714869499207,-179.1441650390625,1197,-3,3.5,True
59,SP_059,52.77627944946289,3.684684991836548,0.27530714869499207,0.855804443359375,8,4,3.5,False
60,SP_060,44.424007415771484,7.1842942237854,0.27530714869499207,0.855804443359375,1192,4,3.5,True
61,SP_061,157.29991149902344,58.91049575805664,0.27530714869499207,179.85255432128906,1050,-1,3.5,True
62,SP_062,167.17308044433594,71.14232635498047,0.44999998807907104,89.9891586303711,1073,1,3.5,True
63,SP_063,175.93885803222656,62.37438201904297,0.5753071308135986,-0.14739990234375,1049,1,3.5,True
64,SP_064,-100.46805572509766,16.266956329345703,0.27530714869499207,134.6768035888672,980,1,3.5,True
65,SP_065,-97.62361145019531,19.07927894592285,0.5753071308135986,134.6768035888672,943,1,3.5,True
66,SP_066,-95.79371643066406,-3.1099166870117188,0.27530714869499207,-179.7053985595703,1017,-1,3.5,True
67,SP_067,-67.32383728027344,0.5365192890167236,0.27530714869499207,0.2946014404296875,1018,1,3.5,True
68,SP_068,-88.3062744140625,21.53060531616211,0.3499999940395355,89.84361267089844,875,-2,3.5,True
69,SP_069,-84.8062973022461,27.021087646484375,0.3499999940395355,89.84374237060547,875,-1,3.5,True
70,SP_070,-77.88716888427734,-8.140572547912598,0.27530714869499207,-90.15623474121094,911,1,3.5,True
71,SP_071,-74.38717651367188,-18.55011749267578,0.27530714869499207,-90.15623474121094,3,3,3.5,False
72,SP_072,-67.1549072265625,-136.210205078125,0.27530714869499207,1.227276086807251,852,1,3.5,True
73,SP_073,-99.6201171875,-140.34010314941406,0.699999988079071,-178.77268981933594,20,-1,3.5,False
74,SP_074,-85.21101379394531,-126.87477111816406,0.27530714869499207,89.84374237060547,809,-1,3.5,True
75,SP_075,-88.71099090576172,-119.56523132324219,0.27530714869499207,89.84374237060547,3,-2,3.5,False
76,SP_076,-74.54647064208984,-148.4326934814453,0.27530714869499207,-88.4347152709961,783,-1,3.5,True
77,SP_077,-78.0451431274414,-157.62892150878906,0.27530714869499207,-88.4346923828125,2,2,3.5,False
78,SP_078,-3.098442554473877,-183.5139923095703,0.27530714869499207,91.41353607177734,29,3,3.5,False
79,SP_079,-18.582256317138672,-204.67431640625,0.27530714869499207,-178.5604705810547,2,-1,3.5,False
80,SP_080,0.7004992365837097,-189.7279510498047,0.27530714869499207,91.41353607177734,703,-1,3.5,True
81,SP_081,23.752519607543945,-193.61224365234375,0.27530714869499207,1.4395471811294556,1,3,3.5,False
82,SP_082,-6.594831466674805,-208.17323303222656,0.27530714869499207,-178.5604705810547,668,-2,3.5,True
83,SP_083,15.640681266784668,-197.1111297607422,0.27530714869499207,1.4395443201065063,667,2,3.5,True
84,SP_084,82.69561004638672,-184.77346801757812,0.27530714869499207,90.153564453125,631,1,3.5,True
85,SP_085,103.99740600585938,-191.6208038330078,0.27530714869499207,1.4395471811294556,0,3,3.5,False
86,SP_086,74.16944122314453,-206.14361572265625,0.27530714869499207,-178.5604705810547,589,-2,3.5,True
87,SP_087,71.68151092529297,-202.6446990966797,0.27530714869499207,-178.5604705810547,1,-1,3.5,False
88,SP_088,94.88572692871094,-195.11968994140625,0.27530714869499207,1.4395443201065063,588,2,3.5,True
89,SP_089,178.7642364501953,-193.89999389648438,0.27530714869499207,0.0,65,-2,3.5,False
90,SP_090,143.19349670410156,-204.4090118408203,0.27530714869499207,-178.5604705810547,526,1,3.5,True
91,SP_091,129.9054412841797,-201.2101287841797,0.27530714869499207,-178.5604705810547,0,-1,3.5,False
92,SP_092,163.86422729492188,-197.39999389648438,0.27530714869499207,0.0,510,1,3.5,True
93,SP_093,80.8740005493164,-11.542411804199219,0.5,-87.97586059570312,494,-1,3.5,True
94,SP_094,64.26287078857422,-7.414976596832275,0.44999998807907104,-179.1441650390625,8,-2,3.5,False
95,SP_095,86.20638275146484,7.808422565460205,0.27530714869499207,0.8558228611946106,483,5,3.5,True
96,SP_096,97.15866088867188,4.308813095092773,0.27530714869499207,0.8558228611946106,7,4,3.5,False
97,SP_097,71.3103256225586,-3.9153716564178467,0.44999998807907104,-179.1441650390625,482,-1,3.5,True
98,SP_098,81.36341857910156,-124.47649383544922,8.305596351623535,92.02410888671875,435,-1,3.5,True
99,SP_099,73.19366455078125,-136.70431518554688,8.605596542358398,-178.77268981933594,406,-1,3.5,True
100,SP_100,85.59086608886719,-144.9974365234375,8.305596351623535,-87.97588348388672,365,-1,3.5,True
101,SP_101,93.75715637207031,-132.76296997070312,8.305596351623535,1.2272647619247437,399,1,3.5,True
102,SP_102,-88.64411163330078,149.85055541992188,0.27530714869499207,89.78770446777344,69,3,3.5,False
103,SP_103,-101.63247680664062,132.628662109375,0.27530714869499207,178.70315551757812,23,1,3.5,False
104,SP_104,-85.14412689208984,144.53883361816406,0.27530714869499207,89.78767395019531,291,-1,3.5,True
105,SP_105,-59.36075210571289,135.46693420410156,0.27530714869499207,-1.29681396484375,24,-1,3.5,False
106,SP_106,-77.52698516845703,109.82638549804688,0.5285891890525818,-90.15624237060547,4,2,3.5,False
107,SP_107,-74.0270004272461,119.11683654785156,0.4285891652107239,-90.15624237060547,4,3,3.5,False
108,SP_108,-9.43769359588623,143.1094207763672,0.27530714869499207,89.63746643066406,184,-2,3.5,True
109,SP_109,-5.93776273727417,148.9872589111328,0.27530714869499207,89.63746643066406,184,-1,3.5,True
110,SP_110,1.9308555126190186,109.09849548339844,0.27530714869499207,-90.36254119873047,30,4,3.5,False
111,SP_111,5.430785179138184,122.2763442993164,0.27530714869499207,-90.36254119873047,183,5,3.5,True
