name,kind,route_index,distance_m,road_option,carla_x,carla_y,carla_z,carla_yaw,road_id,section_id,lane_id,lane_width,s,is_junction
ROUTE_0045,mission_route_waypoint,45,105.857,LANEFOLLOW,115.56192779541016,-6.7547502517700195,0.10973668098449707,-179.14419555664062,7,0,-2,3.5,19.999999999999996,False
ROUTE_0046,mission_route_waypoint,46,107.857,LANEFOLLOW,113.5621566772461,-6.7846221923828125,0.11515141278505325,-179.14419555664062,7,0,-2,3.5,21.999999999999993,False
ROUTE_0047,mission_route_waypoint,47,109.857,LANEFOLLOW,111.5623779296875,-6.814493656158447,0.12006716430187225,-179.14419555664062,7,0,-2,3.5,23.99999999999999,False
ROUTE_0048,mission_route_waypoint,48,111.857,LANEFOLLOW,109.5625991821289,-6.84436559677124,0.12421061843633652,-179.14419555664062,7,0,-2,3.5,25.999999999999986,False
ROUTE_0049,mission_route_waypoint,49,113.857,LANEFOLLOW,107.56282806396484,-6.874237060546875,0.12758177518844604,-179.14419555664062,7,0,-2,3.5,27.999999999999982,False
ROUTE_0050,mission_route_waypoint,50,115.857,LANEFOLLOW,105.56304168701172,-6.904109001159668,0.13018064200878143,-179.14419555664062,7,0,-2,3.5,29.99999999999998,False
ROUTE_0051,mission_route_waypoint,51,117.857,LANEFOLLOW,103.56327056884766,-6.933980941772461,0.13200721144676208,-179.14419555664062,7,0,-2,3.5,31.999999999999975,False
ROUTE_0052,mission_route_waypoint,52,119.857,LANEFOLLOW,101.56349182128906,-6.963852882385254,0.133061483502388,-179.14419555664062,7,0,-2,3.5,33.99999999999997,False
ROUTE_0053,mission_route_waypoint,53,121.857,LANEFOLLOW,99.56371307373047,-6.993724822998047,0.13334345817565918,-179.14419555664062,7,0,-2,3.5,35.99999999999997,False
ROUTE_0054,mission_route_waypoint,54,123.857,LANEFOLLOW,97.5639419555664,-7.02359676361084,0.13285313546657562,-179.14419555664062,7,0,-2,3.5,37.99999999999997,False
ROUTE_0055,mission_route_waypoint,55,127.737,LANEFOLLOW,93.68437194824219,-7.081547737121582,0.1296994686126709,-179.14419555664062,494,0,-1,3.5,2.220446049250313e-14,True
ROUTE_0056,mission_route_waypoint,56,127.737,RIGHT,93.68437194824219,-7.081547737121582,0.1296994686126709,-179.14419555664062,494,0,-1,3.5,2.220446049250313e-14,True
ROUTE_0057,mission_route_waypoint,57,129.737,RIGHT,91.6845932006836,-7.111419677734375,0.12732474505901337,-179.14419555664062,494,0,-1,3.5,2.00000000000002,True
ROUTE_0058,mission_route_waypoint,58,131.71,RIGHT,89.7119369506836,-7.142204284667969,0.12495002895593643,181.74269104003906,494,0,-1,3.5,4.000000000000018,True
ROUTE_0059,mission_route_waypoint,59,133.434,RIGHT,87.9983139038086,-7.329423904418945,0.1225753054022789,190.7274169921875,494,0,-1,3.5,6.000000000000016,True
ROUTE_0060,mission_route_waypoint,60,135.158,RIGHT,86.33496856689453,-7.781962871551514,0.11531137675046921,199.712158203125,494,0,-1,3.5,8.000000000000014,True
ROUTE_0061,mission_route_waypoint,61,136.882,RIGHT,84.76270294189453,-8.488717079162598,0.07146083563566208,208.69688415527344,494,0,-1,3.5,10.000000000000012,True
ROUTE_0062,mission_route_waypoint,62,138.59,RIGHT,83.33287048339844,-9.423440933227539,0.0222527626901865,218.1905059814453,494,0,-1,3.5,12.00000000000001,True
ROUTE_0063,mission_route_waypoint,63,140.144,RIGHT,82.24178314208984,-10.530547142028809,-0.01970740593969822,232.6444549560547,494,0,-1,3.5,14.000000000000009,True
ROUTE_0064,mission_route_waypoint,64,141.699,RIGHT,81.46156311035156,-11.87494945526123,0.0710708498954773,247.09841918945312,494,0,-1,3.5,16.000000000000004,True
ROUTE_0065,mission_route_waypoint,65,143.253,RIGHT,81.0416030883789,-13.371543884277344,0.19925342500209808,261.5523681640625,494,0,-1,3.5,18.0,True
ROUTE_0066,mission_route_waypoint,66,144.93,RIGHT,80.99789428710938,-15.048016548156738,0.32743600010871887,-87.97586822509766,494,0,-1,3.5,19.999999999999996,True
ROUTE_0067,mission_route_waypoint,67,147.624,RIGHT,81.09306335449219,-17.74062156677246,0.5119101405143738,272.02410888671875,43,0,1,3.5,46.85,False
ROUTE_0068,mission_route_waypoint,68,147.624,LANEFOLLOW,81.09306335449219,-17.74062156677246,0.5119101405143738,272.02410888671875,43,0,1,3.5,46.85,False
ROUTE_0069,mission_route_waypoint,69,149.624,LANEFOLLOW,81.16370391845703,-19.7393741607666,0.6742451786994934,272.02410888671875,43,0,1,3.5,44.85,False
ROUTE_0070,mission_route_waypoint,70,151.624,LANEFOLLOW,81.23434448242188,-21.738122940063477,0.8589022159576416,272.02410888671875,43,0,1,3.5,42.85,False
ROUTE_0071,mission_route_waypoint,71,153.624,LANEFOLLOW,81.30498504638672,-23.736875534057617,1.0658811330795288,272.02410888671875,43,0,1,3.5,40.85,False
ROUTE_0072,mission_route_waypoint,72,155.624,LANEFOLLOW,81.37562561035156,-25.735628128051758,1.2951818704605103,272.02410888671875,43,0,1,3.5,38.85,False
ROUTE_0073,mission_route_waypoint,73,157.624,LANEFOLLOW,81.4462661743164,-27.7343807220459,1.5468045473098755,272.02410888671875,43,0,1,3.5,36.85,False
ROUTE_0074,mission_route_waypoint,74,159.624,LANEFOLLOW,81.51690673828125,-29.73313331604004,1.8207491636276245,272.02410888671875,43,0,1,3.5,34.85,False
ROUTE_0075,mission_route_waypoint,75,161.624,LANEFOLLOW,81.5875473022461,-31.73188591003418,2.1170156002044678,272.02410888671875,43,0,1,3.5,32.85,False
ROUTE_0076,mission_route_waypoint,76,163.624,LANEFOLLOW,81.65818786621094,-33.73064041137695,2.4356040954589844,272.02410888671875,43,0,1,3.5,30.850000000000005,False
ROUTE_0077,mission_route_waypoint,77,165.624,LANEFOLLOW,81.72882843017578,-35.72938919067383,2.7699391841888428,272.02410888671875,43,0,1,3.5,28.85000000000001,False
ROUTE_0078,mission_route_waypoint,78,167.624,LANEFOLLOW,81.79946899414062,-37.728145599365234,3.104877471923828,272.02410888671875,43,0,1,3.5,26.850000000000012,False
ROUTE_0079,mission_route_waypoint,79,169.624,LANEFOLLOW,81.87010955810547,-39.72689437866211,3.4398157596588135,272.02410888671875,43,0,1,3.5,24.850000000000016,False
ROUTE_0080,mission_route_waypoint,80,171.624,LANEFOLLOW,81.94075012207031,-41.72564697265625,3.774754047393799,272.02410888671875,43,0,1,3.5,22.85000000000002,False
ROUTE_0081,mission_route_waypoint,81,173.624,LANEFOLLOW,82.01139068603516,-43.72439956665039,4.109692096710205,272.02410888671875,43,0,1,3.5,20.850000000000023,False
ROUTE_0082,mission_route_waypoint,82,175.624,LANEFOLLOW,82.08203125,-45.72315216064453,4.4446306228637695,272.02410888671875,43,0,1,3.5,18.850000000000026,False
ROUTE_0083,mission_route_waypoint,83,177.624,LANEFOLLOW,82.15267181396484,-47.72190475463867,4.779568672180176,272.02410888671875,43,0,1,3.5,16.85000000000003,False
ROUTE_0084,mission_route_waypoint,84,179.624,LANEFOLLOW,82.22331237792969,-49.72065353393555,5.11450719833374,272.02410888671875,43,0,1,3.5,14.850000000000032,False
ROUTE_0085,mission_route_waypoint,85,181.624,LANEFOLLOW,82.29395294189453,-51.71940994262695,5.4494452476501465,272.02410888671875,43,0,1,3.5,12.850000000000033,False
ROUTE_0086,mission_route_waypoint,86,183.624,LANEFOLLOW,82.36459350585938,-53.71815872192383,5.784383296966553,272.02410888671875,43,0,1,3.5,10.850000000000035,False
ROUTE_0087,mission_route_waypoint,87,185.624,LANEFOLLOW,82.43523406982422,-55.71691131591797,6.119321823120117,272.02410888671875,43,0,1,3.5,8.850000000000037,False
ROUTE_0088,mission_route_waypoint,88,187.624,LANEFOLLOW,82.50587463378906,-57.71566390991211,6.454259872436523,272.02410888671875,43,0,1,3.5,6.850000000000039,False
ROUTE_0089,mission_route_waypoint,89,191.624,LANEFOLLOW,82.64715576171875,-61.71316909790039,7.124136447906494,272.02410888671875,43,0,1,3.5,2.8500000000000427,False
ROUTE_0090,mission_route_waypoint,90,194.474,LANEFOLLOW,82.74781799316406,-64.56138610839844,7.5522284507751465,272.02410888671875,1805,0,1,3.5,19.999999999999922,True
ROUTE_0091,mission_route_waypoint,91,194.474,STRAIGHT,82.74781799316406,-64.56138610839844,7.5522284507751465,272.02410888671875,1805,0,1,3.5,19.999999999999922,True
ROUTE_0092,mission_route_waypoint,92,196.474,STRAIGHT,82.8184585571289,-66.56013488769531,7.768454551696777,272.02410888671875,1805,0,1,3.5,17.999999999999925,True
ROUTE_0093,mission_route_waypoint,93,198.474,STRAIGHT,82.88909912109375,-68.55888366699219,7.914018154144287,272.02410888671875,1805,0,1,3.5,15.999999999999927,True
ROUTE_0094,mission_route_waypoint,94,200.474,STRAIGHT,82.9597396850586,-70.5576400756836,7.988920211791992,272.02410888671875,1805,0,1,3.5,13.999999999999929,True
ROUTE_0095,mission_route_waypoint,95,202.474,STRAIGHT,83.03038024902344,-72.55638885498047,8.0,272.02410888671875,1805,0,1,3.5,11.99999999999993,True
ROUTE_0096,mission_route_waypoint,96,204.474,STRAIGHT,83.10102081298828,-74.55514526367188,8.0,272.02410888671875,1805,0,1,3.5,9.999999999999932,True
ROUTE_0097,mission_route_waypoint,97,206.474,STRAIGHT,83.17166137695312,-76.55389404296875,8.0,272.02410888671875,1805,0,1,3.5,7.999999999999934,True
