epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,0.5507200556862732,0.9492471663001184,0.4001370476693022,0.993478969677209,0.0002997049959000266,37.283225774765015
2,0.4002652092293381,0.9930637793943495,0.3824415202828001,0.9947831757417672,0.00029882114784651444,27.331775903701782
3,0.3871330343977164,0.994586364405346,0.36019523560825917,0.9990218454515813,0.00029735194398393893,27.91279411315918
4,0.37124660176714014,0.9978007105396718,0.35878497524412284,0.9990218454515813,0.0002953031825887303,27.65213704109192
5,0.3780641326987386,0.9960525573788981,0.36609049296394636,0.9977176393870232,0.0002926829491861254,27.905354022979736
6,0.3750072587587127,0.9963345175661197,0.3655869108887421,0.9973915878708836,0.00028950158464029354,28.112420320510864
7,0.37409886807036913,0.9961089494163424,0.3634900419611786,0.9973915878708836,0.00028577164434366993,28.071911096572876
8,0.3713100867068943,0.9963345175661197,0.3621558725522946,0.9983697424193022,0.00028150784866655756,28.322335481643677
9,0.36389224318719077,0.9983082388766706,0.3538339035904365,0.9996739484838605,0.00027672702486255125,28.377060651779175
10,0.3698222476156917,0.9964473016410083,0.3556391786666114,0.9990218454515813,0.0002714480406590546,28.408737897872925
11,0.3652403337872251,0.9976879264647832,0.3571145044676753,0.9983697424193022,0.00026569172979498044,28.470598459243774
12,0.36434053799084637,0.9979698866520047,0.35367472839542036,0.9993478969677209,0.000259480809799501,28.41615319252014
13,0.3712629836750321,0.9961653414537868,0.3545320675355198,0.9993478969677209,0.00025283979233633894,28.375263214111328
14,0.36193078602220125,0.9982518468392263,0.35278977403665623,0.9990218454515813,0.0002457948864674291,28.58165431022644
15,0.3640645013786321,0.9974059662775616,0.3573898828919718,0.9983697424193022,0.00023837389521772474,28.579033851623535
16,0.36042341633119446,0.9985901990638921,0.3564401481957711,0.9980436909031627,0.00023060610584935996,28.444432735443115
17,0.36187300243662984,0.9981390627643377,0.351044233726841,1.0,0.0002225221742782064,28.523067474365234
18,0.3628109863941449,0.9974059662775616,0.35277993864837437,0.9996739484838605,0.00021415400408897832,28.77248454093933
19,0.3586669491157242,0.9986465911013365,0.35105771280127934,0.9993478969677209,0.00020553462062635933,29.006794452667236
20,0.360335474425562,0.9980826707268934,0.3536290894084852,0.9983697424193022,0.0001966980406590546,28.92293381690979
21,0.3576033755936061,0.9990413353634466,0.35005441266238047,1.0,0.00018767913813114574,28.945891857147217
22,0.35904735846076596,0.9982518468392263,0.3564257186925252,0.9980436909031627,0.00017851350653056583,28.974980115890503
23,0.3575974515211372,0.9989849433260024,0.3505334750736113,1.0,0.0001692373184178635,29.23330020904541
24,0.35791745475690684,0.9988157672136694,0.3519411968182072,0.9993478969677209,0.00015988718266963235,29.14255166053772
25,0.35772135850238107,0.9985338070264479,0.358188574297404,0.9977176393870232,0.0001505,29.064658403396606
